"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S003579    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0587 0589","Divendres","2023",6,"Juny","16","08","Matí","No és causa del  vianant","Motocicleta","NSC110MPD","HONDA","Vermell","B","15","430335.3  ","4582343.66","2.165635253","41.38775937"
"2023S003579    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0587 0589","Divendres","2023",6,"Juny","16","08","Matí","No és causa del  vianant","Turisme","QASHQAI","NISSAN","Blanc","B","23","430335.3  ","4582343.66","2.165635253","41.38775937"
"2023S005652    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0594 0594","Dilluns","2023",9,"Setembre","25","18","Tarda","No és causa del  vianant","Motocicleta","GRAND DINK 300","KYMCO","Gris","A","8","430264    ","4582202.37","2.164798814","41.386480634"
"2023S005652    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0594 0594","Dilluns","2023",9,"Setembre","25","18","Tarda","No és causa del  vianant","Turisme","3008 STY 16 BHDI 120","PEUGEOT","Gris","B","34","430264    ","4582202.37","2.164798814","41.386480634"
"2023S005652    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0594 0594","Dilluns","2023",9,"Setembre","25","18","Tarda","No és causa del  vianant","Turisme","GOLF","VOLKSWAGEN","Desconegut","B","51","430264    ","4582202.37","2.164798814","41.386480634"
"2023S002669    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0594 0594","Divendres","2023",5,"Maig","5","12","Matí","No és causa del  vianant","Furgoneta","TOURNEO CONNECT","FORD","Gris","B","12","430197.26 ","4582210.36","2.163999731","41.386546805"
"2023S002669    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0594 0594","Divendres","2023",5,"Maig","5","12","Matí","No és causa del  vianant","Motocicleta","NSC110MPD","HONDA","Desconegut","B","35","430197.26 ","4582210.36","2.163999731","41.386546805"
"2023S007020    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0595 0599","Diumenge","2023",11,"Novembre","26","11","Matí","No és causa del  vianant","Motocicleta","MEDLEY 125","PIAGGIO","Blanc","B","6","430380.51 ","4582386.85","2.166170976","41.388152285"
"2023S007020    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0595 0599","Diumenge","2023",11,"Novembre","26","11","Matí","No és causa del  vianant","Turisme","FABIA","SKODA","Blanc","B","36","430380.51 ","4582386.85","2.166170976","41.388152285"
"2023S004537    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0601 0601","Dimecres","2023",7,"Juliol","26","14","Tarda","No és causa del  vianant","Motocicleta","SH125AD","HONDA","Blanc","B","42","430411.85 ","4582420.48","2.166541924","41.388457894"
